tradeName,legalName,address,place,zip,county,registrationNumber,dateRegisteredThrough,cd_method
,"GEROULD'S PROFESSIONAL PHARMACY, INC.",130 S. MAIN STREET ELMIRA NY 14904,ELMIRA,14904,CHEMUNG,000831,"July 31, 2028",county wholly in NY-23
WALGREENS,"WALGREEN EASTERN CO., INC",9050 ERIE RD. ANGOLA NY 14006-9556,. ANGOLA,14006,ERIE,029592,"July 31, 2028",Census batch geocode + point-in-district
CVS/PHARMACY,"CVS ALBANY, L.L.C.",PHARMACY DEPARTMENT 3734 S. PARK AVE. BLASDELL NY 14219,. BLASDELL,14219,ERIE,018107,"October 31, 2027",Census batch geocode + point-in-district
WALGREENS,"WALGREEN EASTERN CO.,INC.",C/O PHARMACY 9217 MAIN ST. CLARENCE NY 14031,. CLARENCE,14031,ERIE,028784,"July 31, 2028",Census batch geocode + point-in-district
TOPS,"TOPS MARKETS, LLC",C/O PHARMACY 6363 TRANSIT RD. DEPEW NY 14043,. DEPEW,14043,ERIE,024259,"March 31, 2028",Census batch geocode + point-in-district
TOPS,"TOPS MARKETS, LLC",C/O PHARMACY 4777 TRANSIT RD. DEPEW NY 14043,. DEPEW,14043,ERIE,021160,"March 31, 2028",Census batch geocode + point-in-district
WAL-MART PHARMACY,"WAL-MART STORES EAST, LP.",4975 TRANSIT RD. DEPEW NY 14043,. DEPEW,14043,ERIE,030322,"April 30, 2028",Census batch geocode + point-in-district
WALGREENS,"WALGREEN EASTERN CO., INC.",C/O PHARMACY 6785 TRANSIT ROAD. EAST AMHERST NY 14051-1303,. EAST AMHERST,14051,ERIE,028221,"July 31, 2028",Census batch geocode + point-in-district
CY'S ELMA PHARMACY,J. RUTOWSKI OF ELMA INC.,2317 BOWEN RD. ELMA NY 14059,. ELMA,14059,ERIE,028512,"July 31, 2028",Census batch geocode + point-in-district
,"CASEY'S PRESCRIPTION PAD, INC.",5844 SOUTHWESTERN BLVD. SUITE 300 HAMBURG NY 14075,. HAMBURG,14075,ERIE,031469,"August 31, 2027",geocoded earlier
BROOKS PHARMACY,RML PHARMACY PC,4481 LAKESHORE RD. HAMBURG NY 14075,. HAMBURG,14075,ERIE,031767,"January 31, 2028",Census batch geocode + point-in-district
TOPS,"TOPS MARKETS, LLC",S6150 SOUTH PARK AVE. HAMBURG NY 14075,. HAMBURG,14075,ERIE,021359,"March 31, 2028",Census batch geocode + point-in-district
WALGREENS,"WALGREEN EASTERN CO., INC.",6199 SOUTH PARK AVE. HAMBURG NY 14075,. HAMBURG,14075,ERIE,030374,"July 31, 2028",Census batch geocode + point-in-district
HOLLAND PHARMACY,ROUTE 16 PHARMACY LLC,19 N. MAIN ST. HOLLAND NY 14080-0021,. HOLLAND,14080,ERIE,035905,"April 30, 2027",Census batch geocode + point-in-district
,ANTHONY-BROWN PHARMACY INC.,4328 S. BUFFALO ST. ORCHARD PARK NY 14127,. ORCHARD PARK,14127,ERIE,010413,"January 31, 2028",Census batch geocode + point-in-district
,COTTRILL'S PHARMACY INC.,4919 ELLICOTT RD. ORCHARD PARK NY 14127,. ORCHARD PARK,14127,ERIE,035270,"January 31, 2029",Census batch geocode + point-in-district
,TOPS MARKETS LLC,C/O PHARMACY 3201 SOUTHWESTERN BLVD. ORCHARD PARK NY 14127,. ORCHARD PARK,14127,ERIE,025290,"March 31, 2028",Census batch geocode + point-in-district
WAL-MART PHARMACY,"WAL-MART STORES EAST, LP",C/O PHARMACY DEPARTMENT 317 SOUTH CASCADE DR. SPRINGVILLE NY 14141,. SPRINGVILLE,14141,ERIE,023339,"April 30, 2028",Census batch geocode + point-in-district
WAL-MART PHARMACY,"WAL-MART STORES EAST, LP",C/O PHARMACY DEPARTMENT 5033 TRANSIT RD. WILLIAMSVILLE NY 14221,. WILLIAMSVILLE,14221,ERIE,023332,"April 30, 2028",Census batch geocode + point-in-district
,"AKRON COMMUNITY PHARMACY, INC.",12983 MAIN RD AKRON NY 14001,AKRON,14001,ERIE,041908,"September 30, 2028",Census batch geocode + point-in-district
ALDEN PHARMACY,RUTOWSKI OF ALDEN INC.,13203 BROADWAY ALDEN NY 14004,ALDEN,14004,ERIE,040114,"February 28, 2029",Census batch geocode + point-in-district
TOPS,"TOPS MARKETS, LLC",12775 BROADWAY ALDEN NY 14004,ALDEN,14004,ERIE,024493,"March 31, 2028",Census batch geocode + point-in-district
,"WEGMAN'S FOOD MARKETS, INC.",C/O PHARMACY S-3740 MCKINLEY PKY. BLASDELL NY 14219,BLASDELL,14219,ERIE,019803,"December 31, 2028",Census batch geocode + point-in-district
WALGREENS #05592,"WALGREEN EASTERN CO., INC.",C/O PHARMACY 5275 TRANSIT ROAD BUFFALO NY 14221,BUFFALO,14221,ERIE,024653,"July 31, 2028",Census batch geocode + point-in-district
CLARENCE PHARMACY,CLARENCE PHARMACY LLC,9500 MAIN STREET SUITE 600 CLARENCE NY 14031,CLARENCE,14031,ERIE,034628,"May 31, 2028",geocoded earlier
,"TOPS MARKETS, LLC",5175 BROADWAY DEPEW NY 14043,DEPEW,14043,ERIE,041159,"January 31, 2028",Census batch geocode + point-in-district
WALGREENS #03859,"WALGREEN EASTERN CO., INC.",C/O PHARMACY 4815 BROADWAY DEPEW NY 14043,DEPEW,14043,ERIE,023101,"July 31, 2028",Census batch geocode + point-in-district
,"TOPS MARKETS, LLC",C/O PHARMACY 6914 ERIE ROAD DERBY NY 14047,DERBY,14047,ERIE,024596,"March 31, 2028",Census batch geocode + point-in-district
CVS/PHARMACY,"CVS ALBANY, L.L.C.",PHARMACY DEPARTMENT 727 MAIN STREET EAST AURORA NY 14052,EAST AURORA,14052,ERIE,018301,"October 31, 2027",Census batch geocode + point-in-district
LARWOOD PHARMACY,RUTOWSKI OF EAST AURORA INC.,597 OAKWOOD AVE EAST AURORA NY 14052,EAST AURORA,14052,ERIE,038898,"August 31, 2027",Census batch geocode + point-in-district
CVS/PHARMACY,"CVS ALBANY, L.L.C.",C/O PHARMACY 7182 BOSTON STATE ROAD HAMBURG NY 14075,HAMBURG,14075,ERIE,012838,"October 31, 2027",geocoded earlier
WANAKAH PHARMACY,J. RUTOWSKI OF WANAKAH INC.,S. 4923 LAKESHORE ROAD HAMBURG NY 14075,HAMBURG,14075,ERIE,024197,"January 31, 2028",Census batch geocode + point-in-district
WAL-MART PHARMACY,"WAL-MART STORES EAST, LP",C/O PHARMACY DEPARTMENT 5360 SOUTHWESTERN BLVD HAMBURG NY 14075,HAMBURG,14075,ERIE,023329,"April 30, 2028",Census batch geocode + point-in-district
CVS PHARMACY 16442,"CVS ALBANY, LLC",5622 AMANDA LANE ORCHARD PARK NY 14127,ORCHARD PARK,14127,ERIE,034190,"October 31, 2027",Census batch geocode + point-in-district
,SPRINGVILLE PHARMACY LLC,13 E. MAIN STREET SPRINGVILLE NY 14141,SPRINGVILLE,14141,ERIE,037338,"April 30, 2028",Census batch geocode + point-in-district
,PENDLETON STAR PHARMACY INC.,6503 CAMPBELL BLVD. LOCKPORT NY 14094,. LOCKPORT,14094,NIAGARA,032351,"October 31, 2028",Census batch geocode + point-in-district
WAL-MART PHARMACY,"WAL-MART STORES EAST, LP",C/O PHARMACY DEPARTMENT 5735 S. TRANSIT RD. LOCKPORT NY 14094,. LOCKPORT,14094,NIAGARA,023350,"April 30, 2028",Census batch geocode + point-in-district
LOCKPORT APOTHECARY,"JRX,LLC",6606 LINCOLN AVENUE LOCKPORT NY 14094,LOCKPORT,14094,NIAGARA,024160,"December 31, 2028",Census batch geocode + point-in-district
,"TOPS MARKETS, LLC",5827 S. TRANSIT RD LOCKPORT NY 14094,LOCKPORT,14094,NIAGARA,041158,"January 31, 2028",Census batch geocode + point-in-district
,QUINLAN'S PHARMACY INC.,336 WEST MAIN ST. P.O BOX 548 MONTOUR FALLS NY 14865-9998,. MONTOUR FALLS,14865,SCHUYLER,031366,"May 31, 2027",county wholly in NY-23
CVS PHARMACY,"CVS ALBANY, L.L.C.",C/O PHARMACY 506 SOUTH FRANKLIN ST. WATKINS GLEN NY 14891,. WATKINS GLEN,14891,SCHUYLER,016566,"October 31, 2027",county wholly in NY-23
WAL-MART,"WAL-MART STORES EAST, LP",C/O PHARMACY 515 EAST 4TH ST. WATKINS GLEN NY 14891,. WATKINS GLEN,14891,SCHUYLER,025672,"April 30, 2028",county wholly in NY-23
ADDISON PHARMACY,CMV PHARMACY INC.,36 MAIN ST. ADDISON NY 14801,. ADDISON,14801,STEUBEN,041136,"July 31, 2027",county wholly in NY-23
TOPS,"TOPS MARKETS, LLC",C/O PHARMACY 309 W. MORRIS ST. BATH NY 14810,. BATH,14810,STEUBEN,022854,"March 31, 2028",county wholly in NY-23
,"GEROULD'S PROFESSIONAL PHARMACY, INC.",98 W. PULTNEY ST. CORNING NY 14830,. CORNING,14830,STEUBEN,026262,"November 30, 2028",county wholly in NY-23
PARK PHARMACY OF HAMMONDSPORT,"PARK PHARMACY OF HAMMONDSPORT, LLC",27 SHETHAR ST. HAMMONDSPORT NY 14840,. HAMMONDSPORT,14840,STEUBEN,031160,"February 28, 2027",county wholly in NY-23
WAL-MART PHARMACY,"WAL-MART STORES EAST, LP",C/O PHARMACY 3217 SILVERBACK LN. PAINTED POST NY 14870,. PAINTED POST,14870,STEUBEN,025132,"April 30, 2028",county wholly in NY-23
CVS PHARMACY,"CVS ALBANY, L.L.C.",C/O PHARMACY 100 EAST NAPLES ST. WAYLAND NY 14572,. WAYLAND,14572,STEUBEN,020527,"October 31, 2027",county wholly in NY-23
QUINLAN'S MEDICAL EQUIPMENT AND SUPPLY,"QUINLAN'S PHARMACY, INC.",107 N. MAIN ST. WAYLAND NY 14572,. WAYLAND,14572,STEUBEN,023241,"July 31, 2028",county wholly in NY-23
,"WEGMAN'S FOOD MARKETS, INC.",C/O PHARMACY 1000 HWY 36 NORTH HORNELL NY 14843,36 NORTH HORNELL,14843,STEUBEN,022470,"December 31, 2028",county wholly in NY-23
WALGREENS,"WALGREEN EASTERN CO., INC",C/O PHARMACY 321 W WASHINGTON ST BATH NY 14810,BATH,14810,STEUBEN,028922,"July 31, 2028",county wholly in NY-23
,"WEGMAN'S FOOD MARKETS, INC.",C/O PHARMACY 24 S. BRIDGE STREET CORNING NY 14830,CORNING,14830,STEUBEN,019707,"December 31, 2028",county wholly in NY-23
WAL-MART PHARMACY,"WAL-MART STORES EAST, LP",C/O PHARMACY DEPARTMENT 1000 STATE RTE 36 HORNELL NY 14843,HORNELL,14843,STEUBEN,023327,"April 30, 2028",county wholly in NY-23
CVS/PHARMACY,"CVS ALBANY, L.L.C.",C/O PHARMACY 39 PARK ST. OWEGO NY 13827,. OWEGO,13827,TIOGA,023449,"October 31, 2027",county wholly in NY-23
THE OWEGO PHARMACY,"OWEGO PHARMACY, INC. THE",1135 ST RT 17C OWEGO NY 13827,OWEGO,13827,TIOGA,031036,"January 31, 2027",county wholly in NY-23
WAVERLY PHARMACY,"CRYSTAL CITY APOTHECARY, LLC",443 CAYUTA AVENUE WAVERLY NY 14892-1326,WAVERLY,14892,TIOGA,027521,"September 30, 2029",county wholly in NY-23
