pacid,affiliateid,orgid,firstlastp,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid,maxyear
C00110338,"",D000000219,Nick Langworthy (R),American Crystal Sugar,10000,10000,0,2025-02-06 00:00:00 +0000,13,x,"",0,D000000219,2024
C00000729,"",D000000105,Nick Langworthy (R),American Dental Assn,10000,10000,0,2025-02-06 00:00:00 +0000,13,x,"",2,D000000105,2024
C00106146,"",D000000116,Nick Langworthy (R),American Hospital Assn,10000,10000,0,2025-02-06 00:00:00 +0000,13,x,"",3,D000000116,2024
C00250399,"",D000021853,Nick Langworthy (R),Automotive Free International Trade PAC           ,10000,10000,0,2025-02-06 00:00:00 +0000,13,"","",0,"",""
C00001016,"",D000000073,Nick Langworthy (R),Carpenters & Joiners Union,10000,10000,0,2025-02-06 00:00:00 +0000,13,x,"",0,D000000073,2024
C00426775,"",D000000672,Nick Langworthy (R),Charter Communications,10000,10000,0,2025-02-06 00:00:00 +0000,13,x,"",3,D000000672,2024
C00304832,"",D000025112,Nick Langworthy (R),Constellation Brands,10000,10000,0,2025-02-06 00:00:00 +0000,13,x,"",4,D000025112,2024
C00592089,"","",Nick Langworthy (R),Electing Majority Making Effective Republicans,10000,10000,0,2025-02-06 00:00:00 +0000,13,"","",0,"",""
C00193631,"",D000000359,Nick Langworthy (R),Farm Credit Council,10000,10000,0,2025-02-06 00:00:00 +0000,13,x,"",0,D000000359,2024
C00540187,"",D000027721,Nick Langworthy (R),Innovation PAC,10000,10000,0,2025-02-06 00:00:00 +0000,13,"","",0,"",""
C00084491,"",D000022046,Nick Langworthy (R),International Franchise Assn,10000,10000,0,2025-02-06 00:00:00 +0000,13,x,"",0,D000022046,2024
C00236489,"",D000000186,Nick Langworthy (R),Koch Inc,10000,10000,0,2025-02-06 00:00:00 +0000,13,x,"",0,D000000186,2024
C00238725,"",D000000285,Nick Langworthy (R),National Air Traffic Controllers Assn,10000,10000,0,2025-02-06 00:00:00 +0000,13,x,"",0,D000000285,2024
C00144766,"",D000000101,Nick Langworthy (R),National Beer Wholesalers Assn,10000,10000,0,2025-02-06 00:00:00 +0000,13,x,"",0,D000000101,2024
C00113811,"",D000000411,Nick Langworthy (R),National Electrical Contractors Assn,10000,10000,0,2025-02-06 00:00:00 +0000,13,x,"",0,D000000411,2024
C00083758,"",D000027849,Nick Langworthy (R),National Fuel Gas Co,10000,10000,0,2025-02-06 00:00:00 +0000,13,x,"",0,D000027849,2024
C00089458,"",D000022140,Nick Langworthy (R),"National Stone, Sand & Gravel Assn",10000,10000,0,2025-02-06 00:00:00 +0000,13,x,"",0,D000022140,2024
C00488262,"",D000070195,Nick Langworthy (R),Netjets Assn of Shared Aircraft Pilots,10000,10000,0,2025-02-06 00:00:00 +0000,13,x,"",0,D000070195,2024
C00848093,"",D000000249,Nick Langworthy (R),New York Life Insurance,10000,10000,0,2025-02-06 00:00:00 +0000,13,x,"",2,D000000249,2024
C00029504,"",D000000139,Nick Langworthy (R),Operating Engineers Union,10000,10000,0,2025-02-06 00:00:00 +0000,13,x,"",0,D000000139,2024
C00360669,"",D000029139,Nick Langworthy (R),Southwest Airlines Pilots Assn,10000,10000,0,2025-02-06 00:00:00 +0000,13,x,"",0,D000029139,2024
C00012245,"","",Nick Langworthy (R),UBS Americas,10000,10000,0,2025-02-06 00:00:00 +0000,13,"","",0,"",""
C00274431,"",D000000348,Nick Langworthy (R),UnitedHealth Group,10000,10000,0,2025-02-06 00:00:00 +0000,13,x,"",2,D000000348,2024
