piid,mod,signed,effective,completion,obligated,total_obligated,total_base_all,contracting_office,funding_office,pop_state,pop_city,pop_county,pop_zip,pop_cd,vendor,vendor_state,psc,psc_desc,naics,naics_desc,description,initiative,action_type
36C24425N0338,P00001,2025-01-29,2025-01-03,2025-01-29,-63554.29,0.00,0.00,244-NETWORK CONTRACT OFFICE 4 (36C244),642-PHILADELPHIA (00642)(36C642),PA,PHILADELPHIA,PHILADELPHIA,191044551,03,MARATHON MEDICAL CORPORATION,,J065,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",333318,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,TERMINATION FOR CONVENIENCE,,DELIVERY ORDER
36C24523D0131,P00001,2025-01-29,2023-09-25,,0.00,0.00,6034510.59,245-NETWORK CONTRACT OFFICE 5 (36C245),VISN 05-VETERANS INTEGRATED(36C482),,,,,,THE ARBINGER COMPANY,,L069,TECHNICAL REPRESENTATIVE- TRAINING AIDS AND DEVICES,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,TERMINATION FOR CONVENIENCE,,IDC
36C24524N0093,P00004,2025-01-29,2023-11-10,2025-01-28,0.00,1020523.20,1020523.20,245-NETWORK CONTRACT OFFICE 5 (36C245),688-WASHINGTON DC (00688)(36C688),DC,WASHINGTON,DISTRICT OF COLUMBIA,204220003,98,THE ARBINGER COMPANY,,L069,TECHNICAL REPRESENTATIVE- TRAINING AIDS AND DEVICES,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,TERMINATION FOR CONVENIENCE,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C25722F0129,P00003,2025-01-29,2022-09-06,2025-01-29,0.00,42187.60,42187.60,257-NETWORK CONTRACT OFFICE 17 (36C257),674-TEMPLE (00674),TX,TEMPLE,BELL,765047115,31,"EBSCO INDUSTRIES, INC.",,DH10,"IT AND TELECOM - PLATFORM AS A SERVICE: DATABASE, MAINFRAME, MIDDLEWARE",511120,PERIODICAL PUBLISHERS,SWRC & LGBTQ+ DATABASE SUBSCRIPTION,,DELIVERY ORDER
36C10F24C50013,P00001,2025-01-30,2024-08-14,2025-06-10,0.00,416917.86,416917.86,OFFICE OF CONSTRUCTION &  FACILITIES MGMT (36C10F),OFFICE OF CONSTRUCTION &  FACILITIES MGMT (36C10F),TX,DALLAS,DALLAS,752167167,30,FFE ENVIRONMENTAL SERVICES INC,,C219,ARCHITECT AND ENGINEERING- GENERAL: OTHER,541330,ENGINEERING SERVICES,NOTICE OF TERMINATION FOR CONVENIENCE. 'EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING'.,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DEFINITIVE CONTRACT
36C24224P0978,P00001,2025-01-30,2024-05-01,2025-01-31,-22666.56,68000.10,68000.10,242-NETWORK CONTRACT OFFICE 02 (36C242),242-NETWORK CONTRACT OFFICE 02 (36C242),NY,BUFFALO,ERIE,142151129,26,MAINTENANCE MATRIX LLC,,J065,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",811210,ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,PURCHASE ORDER
36C25624N0940,P00001,2025-01-30,2024-06-18,2024-09-13,-52826.34,0.00,0.00,256-NETWORK CONTRACT OFFICE 16 (36C256),564-FAYETTEVILLE (00564),OH,MENTOR,LAKE,440601834,14,STERIS CORPORATION,,6515,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",339112,SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,DELIVERY AND INSTALLATION OF SONIC IRRIGATORS,,DELIVERY ORDER
36C26221P1356,P00001,2025-01-30,2021-07-06,2022-05-26,-17953.77,0.00,0.00,262-NETWORK CONTRACT OFFICE 22 (36C262),605-VA LOMA LINDA HLTHCR SYS(00605),WA,ALGONA,KING,980017408,09,"HOMECARE PRODUCTS, INC.",,6532,HOSPITAL AND SURGICAL CLOTHING AND RELATED SPECIAL PURPOSE ITEMS,339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,PROSTHETICS:VERTICAL PLATFORM LIFT,,PURCHASE ORDER
36C26221P1746,P00001,2025-01-30,2021-08-30,2025-01-30,-13105.00,0.00,0.00,262-NETWORK CONTRACT OFFICE 22 (36C262),600-VA LONG BEACH HLTCAR SYS(00600),CA,ANAHEIM,ORANGE,928072517,40,"AERO MOBILITY, INC.",,6515,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,PROSTHETICS:VEHICLE CONVERSION,,PURCHASE ORDER
36C26221P1775,P00001,2025-01-30,2021-09-02,2022-09-29,-13542.09,0.00,0.00,262-NETWORK CONTRACT OFFICE 22 (36C262),600-VA LONG BEACH HLTCAR SYS(00600),MD,BALTIMORE,BALTIMORE CITY,212312819,07,"RESTORATIVE THERAPIES, INC.",,6515,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,PROSTHETICS:EXERCISE EQUIPMENT,,PURCHASE ORDER
36C26221P1908,P00001,2025-01-30,2021-09-21,2025-01-30,-21950.00,0.00,0.00,262-NETWORK CONTRACT OFFICE 22 (36C262),600-VA LONG BEACH HLTCAR SYS(00600),CA,ANAHEIM,ORANGE,928072517,40,"AERO MOBILITY, INC.",,6515,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,PROSTHETICS:VAN CONVERSION,,PURCHASE ORDER
36C26224P2225,P00001,2025-01-30,2024-09-06,2024-12-20,-130000.00,0.00,520000.00,262-NETWORK CONTRACT OFFICE 22 (36C262),644-PHOENIX (00644),NY,NEWBURGH,ORANGE,125504207,18,RONRUN L.L.C.,,6515,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",339112,SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,CATHETER,,PURCHASE ORDER
36C24621C0006,P00003,2025-01-31,2020-12-21,2023-06-30,-475959.64,202760.36,202760.36,246-NETWORK CONTRACTING OFFICE 6 (36C246),637-ASHEVILLE (00637)(36C637),NC,ASHEVILLE,BUNCOMBE,288154505,11,TOLAND MIZELL MOLNAR LLC,,C1DZ,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER HOSPITAL BUILDINGS,541310,ARCHITECTURAL SERVICES,TERMINATE FOR CONVENIENCE,,DEFINITIVE CONTRACT
36C24923C0096,P00001,2025-01-31,2023-08-30,2025-01-16,-340945.67,17603.33,17603.33,249-NETWORK CONTRACT OFFICE 9 (36C249),621-MOUNTAIN HOME (00621),TN,JOHNSON CITY,WASHINGTON,376041714,01,CONTEGO ENVIRONMENTAL LLC,,Z1DZ,MAINTENANCE OF OTHER HOSPITAL BUILDINGS,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"621-23-126 - INSTALL SPS WATER FILTRATION SYSTEM AT THE JAMES H. QUILLEN VA MEDICAL CENTER, MT. HOME, TN.",,DEFINITIVE CONTRACT
36C25723F0016,P00003,2025-01-31,2022-12-17,2027-12-16,0.00,628114.00,1073314.00,257-NETWORK CONTRACT OFFICE 17 (36C257),549-DALLAS (00549),AL,BIRMINGHAM,SHELBY,352426818,06,"EBSCO INDUSTRIES, INC.",,7630,NEWSPAPERS AND PERIODICALS,511120,PERIODICAL PUBLISHERS,PARTIALLY TERMINATION FOR GOVERNMENT CONVENIENCE,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C25724P0597,P00001,2025-01-31,2024-09-23,2025-02-13,-26030.80,1625.00,1625.00,257-NETWORK CONTRACT OFFICE 17 (36C257),504-AMARILLO (00504),TX,AMARILLO,POTTER,791064019,13,"WL CONCEPTS & PRODUCTION, INC",,7195,MISCELLANEOUS FURNITURE AND FIXTURES,337215,"SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING",TERMINATE FOR CONVENIENCE - MUSEUM DISPLAY CASES AND DECOR (AMA),EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,PURCHASE ORDER
36C10X23N0165,P00004,2025-02-05,2023-09-29,2024-09-28,-2216715.28,2189643.72,2189643.72,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,ALEXANDRIA,ALEXANDRIA CITY,223043909,08,"GREEN-GATE TECHNOLOGY, INC",,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,"TERMINATION FOR CONVENIENCE.  THIS TERMINATION WAS NOT A RESULT OF THE 'EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING', AS SUCH THE INITIATIVE IS NOT SELECTED.",,DELIVERY ORDER
36C25024N0893,P00001,2025-02-05,2024-09-26,2025-02-05,-138519.00,12591.00,12591.00,250-NETWORK CONTRACT OFFICE 10 (36C250),539-CINCINNATI (00539),OH,CINCINNATI,HAMILTON,452202213,01,"CALVARY CONTRACTING, INC.",,Z1DA,MAINTENANCE OF HOSPITALS AND INFIRMARIES,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"539-24-502
UPDATE PRECAST PANEL MISSION STATEMENT
TERMINATIONS FOR CONVENIENCE (T4C)",,DELIVERY ORDER
36C25925P0245,P00001,2025-02-05,2024-12-30,2025-02-10,-44685.98,0.00,0.00,NETWORK CONTRACT OFFICE 19 (36C259),HEALTH REVENUE CENTER (00702),TX,SAN ANTONIO,BEXAR,782321328,21,"DESIGN BUILD CONSORTIUM, LLC",,6150,MISCELLANEOUS ELECTRIC POWER AND DISTRIBUTION EQUIPMENT,335311,"POWER, DISTRIBUTION, AND SPECIALTY TRANSFORMER MANUFACTURING",UPS REPLACEMENT BATTERIES (12HX300-FR AND 12HX400-FR) WITH INSTALLATION - TERMINATION FOR CONVENIENCE,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,PURCHASE ORDER
36A79722N0054,P00004,2025-02-06,2022-01-06,2025-02-06,-1942142.00,0.00,0.00,NAC HIGH TECH ORDERS (36A797),NAC HIGH TECH ORDERS (36A797),WI,WAUKESHA,WAUKESHA,531881615,05,GE PRECISION HEALTHCARE LLC,,6525,"IMAGING EQUIPMENT AND SUPPLIES: MEDICAL, DENTAL, VETERINARY",334517,IRRADIATION APPARATUS MANUFACTURING,"XR MRI
663B13008
VAMC EVERETT WA
REQUIREMENT: THIS UNILATERAL MODIFICATION IS ISSUED PER THE CUSTOMER'S REQUEST AND THE VENDOR'S CONCURRENCE TO TERMINATE THIS ORDER IN ITS ENTIRETY DUE TO THE CONVENIENCE OF THE GOVERNMENT.",,DELIVERY ORDER
36C10X20C0062,P00006,2025-02-06,2020-08-27,2025-02-06,0.00,178202.00,178202.00,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,ARLINGTON,ARLINGTON,222091800,08,"POLITICO, LLC",,T099,PHOTO/MAP/PRINT/PUBLICATION- OTHER,519130,INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS,TERMINATE FOR CONVENIENCE,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DEFINITIVE CONTRACT
36C10X24A0015,P00001,2025-02-06,2024-08-21,,0.00,0.00,1130244.25,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),,,,,,"CPS PROFESSIONAL SERVICES, LLC",,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATION FOR CONVENIENCE - VIRTUAL HOST SERVICES,,BPA
36C10X24F0095,P00001,2025-02-06,2024-08-26,2024-10-31,-234088.70,0.00,0.00,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),MD,FREDERICK,FREDERICK,217032817,06,"CPS PROFESSIONAL SERVICES, LLC",,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,VIRTUAL HOST SERVICES,,BPA CALL
36C24E21P0034,P00001,2025-02-06,2021-02-08,2022-02-07,-877.78,9830.90,9830.90,RPO EAST (36C24E),635-OKLAHOMA CITY (00635),MD,GERMANTOWN,MONTGOMERY,208741415,06,"QIAGEN, LLC",,AJ12,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; APPLIED RESEARCH,541380,TESTING LABORATORIES AND SERVICES,GENOMICS SEQUENCING SERVICES,,PURCHASE ORDER
36C26222P0147,P00001,2025-02-06,2021-11-02,2025-02-06,-21000.00,0.00,0.00,262-NETWORK CONTRACT OFFICE 22 (36C262),600-VA LONG BEACH HLTCAR SYS(00600),NH,PORTSMOUTH,ROCKINGHAM,038013251,01,NOVOCURE INC.,,6515,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,PROISTHETICS:OPTUNE PLUS TRANSDUCERS,,PURCHASE ORDER
36C26222P0274,P00001,2025-02-06,2021-11-29,2025-02-06,-13098.00,0.00,0.00,262-NETWORK CONTRACT OFFICE 22 (36C262),664-SAN DIEGO HEALTHCARE SYS(00664),CA,BRENTWOOD,CONTRA COSTA,945131056,10,"LIFT & TRANSFER SPECIALISTS, INC.",,6515,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,PROSTHETICS:CEILING LIFT,,PURCHASE ORDER
36C10G22D0014,P00006,2025-02-07,2022-08-01,,0.00,2000.00,50000000.00,STRATEGIC ACQUISITION CENTER FREDERICKSBURG (36C10G),STRATEGIC ACQUISITION CENTER FREDERICKSBURG (36C10G),,,,,,SDV OFFICE SYSTEMS LLC,,4610,WATER PURIFICATION EQUIPMENT,333318,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,"TERMINATION FOR THE GOVERNMENT'S CONVENIENCE, PARTIAL- TERMINATE CLIN/SLINS 2005, 2006, 2008AC, 2008AI, 3005, 3006, 3008AC, 3008AI, 4005, 4006, 4008AC, AND 4008AI.",,IDC
36C10X24P0056,P00002,2025-02-07,2024-06-12,2025-01-23,0.00,10600.00,10600.00,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),MD,ROCKVILLE,MONTGOMERY,208528758,08,OUT & EQUAL,,U005,EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,THE PURPOSE OF THIS MODIFICATION IS TO EXECUTE A COMPLETE TERMINATION FOR CONVENIENCE IN ACCORDANCE WITH FAR 52.212-4(L) FOR OUT & EQUAL GOVERNMENT PLUS MEMBERSHIP FOR VA OFFICE OF THE SECRETARY.,,PURCHASE ORDER
36C10X22P0008,P00004,2025-02-10,2021-12-01,2025-02-10,0.00,5162.50,16412.50,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),CA,MENLO PARK,SAN MATEO,940254737,16,"MIND GARDEN, INC",,Q519,BEHAVIORAL AND MENTAL HEALTH,511130,BOOK PUBLISHERS,"VHA PSYCHOLOGICAL ASSESSMENTS
MOD. TO EXERCISE OPTION PERIOD 3 (CLIN 3001) $2,500.00",,PURCHASE ORDER
36C24823N0828,P00001,2025-02-10,2023-06-30,2023-09-30,-7460.60,0.00,0.00,248-NETWORK CONTRACT OFFICE 8 (36C248),673-TAMPA(00673)(36C673),IL,LINCOLNSHIRE,LAKE,600694325,10,"SYSMEX AMERICA, INC.",,6640,LABORATORY EQUIPMENT AND SUPPLIES,334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,THIS IS A COMPLETE TERMINATION FOR CONVENIENCE AND NO COST SETTLEMENT AGREEMENT OF THE ORDER.,,BPA CALL
36C24425P0301,P00001,2025-02-11,2025-02-07,2025-02-11,-727121.10,0.00,0.00,244-NETWORK CONTRACT OFFICE 4 (36C244),646-PITTSBURGH (00646)(36C646),OR,NEWBERG,YAMHILL,971329528,06,A-DEC INC,,6520,"DENTAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",339114,DENTAL EQUIPMENT AND SUPPLIES MANUFACTURING,TERMINATION FOR CONVENIENCE: A-DEC DENTAL CHAIRS AND ACCESSORIES,,PURCHASE ORDER
36C24824P0850,P00001,2025-02-12,2024-02-29,2025-02-28,-24500.00,0.00,0.00,248-NETWORK CONTRACT OFFICE 8 (36C248),248-NETWORK CONTRACT OFFICE 8 (36C248),FL,PALM BEACH GARDENS,PALM BEACH,334101138,21,"FLORIDA STERLING COUNCIL, INC.",,R420,SUPPORT- PROFESSIONAL: CERTIFICATIONS AND ACCREDITATIONS (OTHER THAN EDUC OR INFO TECH C&A),813920,PROFESSIONAL ORGANIZATIONS,STERLING MANAGEMENT CERTIFICATION,,PURCHASE ORDER
36C10B23F0137,P00003,2025-02-13,2023-06-01,2026-03-31,-76170.24,23976289.12,24052459.36,TECHNOLOGY ACQUISITION CENTER NJ (36C10B),TECHNOLOGY ACQUISITION CENTER NJ (36C10B),FL,JUNO BEACH,PALM BEACH,334082478,21,DOCUMENT STORAGE SYSTEMS INC,,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),611420,COMPUTER TRAINING,TERMINATION FOR CONVENIENCE OF OPTIONAL TASK 1.,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C10X23C0021,P00006,2025-02-13,2023-04-05,2025-02-13,0.00,7355176.39,9951897.33,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),MA,BOSTON,SUFFOLK,021082503,08,"TECHNICAL ASSISTANCE COLLABORATIVE, INC.",,R410,SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT,624229,OTHER COMMUNITY HOUSING SERVICES,HPO TECHNICAL ASSISTANCE AND STRATEGIC PLANNING SUPPORT (VA-23-00027579),,DEFINITIVE CONTRACT
36C10X23N0126,P00006,2025-02-13,2023-08-14,2026-02-13,0.00,2282705.94,8878769.94,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),MD,FREDERICK,FREDERICK,217026440,06,"MANAGEMENT SUPPORT TECHNOLOGY, INCORPORATED",,R410,SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NOTICE OF TERMINATION OF CONVENIENCE | EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C10X24F0031,P00005,2025-02-13,2024-09-29,2025-02-13,0.00,17191369.00,17328040.61,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,FALLS CHURCH,FAIRFAX,220422730,08,COGNOSANTE LLC,,R410,SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,VHA HIGH RELIABILITY ORGANIZATION (HRO) SUPPORT SERVICES BLANKET PURCHASE AGREEMENT: CALL 6 FOR HRO LEADERSHIP TRAINING/COACHING SUPPORT - P00005 TERMINATE FOR CONVENIENCE PER DOGE,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,BPA CALL
36C24624P0744,P00002,2025-02-13,2024-04-01,2024-07-23,-76634.80,12915.20,12915.20,246-NETWORK CONTRACTING OFFICE 6 (36C246),658-SALEM (00658)(36C658),MS,GULFPORT,HARRISON,395014814,04,RAS ENTERPRISES LLC,,6835,MEDICAL GASES,325120,INDUSTRIAL GAS MANUFACTURING,LIQUID BULK-OXYGEN TERMINATION FOR CONVENIENCE,,PURCHASE ORDER
36C24822N0551,P00004,2025-02-13,2022-07-13,2025-02-06,-334194.73,710230.25,710230.27,248-NETWORK CONTRACT OFFICE 8 (36C248),VETERANS HEALTH ADMINISTRATION,FL,TAMPA,HILLSBOROUGH,336125500,15,"AKEA DESIGN, INC",,C1DA,ARCHITECT AND ENGINEERING- CONSTRUCTION: HOSPITALS AND INFIRMARIES,541330,ENGINEERING SERVICES,"A&E DESIGN SERVICES TO RENOVATE PENTHOUSE AND REPLACE AHUS. MODIFICATION P00003 IS A NO COST TIME EXTENSION WHICH WILL ADD 244 DAYS TO THE TASK ORDER FOR ADDITIONAL VERIFICATION AND 
THOROUGH DESIGN.",,DELIVERY ORDER
36C26322D0084,P00003,2025-02-14,2022-04-01,,0.00,0.00,821600.00,NETWORK CONTRACT OFFICE 23 (36C263),618-MINNEAPOLIS VA MED CTR (00618),,,,,,"DBP, INC.",,R603,SUPPORT- ADMINISTRATIVE: TRANSCRIPTION,561410,DOCUMENT PREPARATION SERVICES,TRANSCRIPTION SERVICES,,IDC
36C26324N0526,P00001,2025-02-14,2024-04-01,2025-03-31,-39294.65,10705.35,10705.35,NETWORK CONTRACT OFFICE 23 (36C263),618-MINNEAPOLIS VA MED CTR (00618),MN,MINNEAPOLIS,HENNEPIN,554172309,05,"DBP, INC.",,R603,SUPPORT- ADMINISTRATIVE: TRANSCRIPTION,561410,DOCUMENT PREPARATION SERVICES,TRANSCRIPTION SERVICES,,DELIVERY ORDER
