street,city,county,cd119,in_ny23,method
9 Broad St,Salamanca,Cattaraugus County,23,yes,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
1070 Genesee St,Buffalo,Erie County,26,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
5901 Bay Pkwy,Brooklyn,Kings County,09,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
8222 18th Ave,Brooklyn,Kings County,11,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
55-60 Myrtle Ave,Ridgewood,Queens County,07,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
50-15 Roosevelt Ave,Woodside,Queens County,06,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
60-26 Woodside Ave,Woodside,Queens County,06,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
149 Market Street,Amsterdam,Montgomery County,20,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
33-01 30th Avenue,Astoria,Queens County,14,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
113 Downer Street,Baldwinsville,Onondaga County,22,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
2063 Bartow Avenue,Bronx,Bronx County,16,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
1679 Bedford Avenue,Brooklyn,Kings County,09,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
1950 Fulton Street,Brooklyn,Kings County,08,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
3823 Nostrand Avenue,Brooklyn,Kings County,08,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
7118 3rd Avenue,Brooklyn,Kings County,11,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
1863 Central Avenue,Colonie,Albany County,20,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
209 Mount Zoar Street,Elmira,Chemung County,23,yes,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
158-02 Union Turnpike,Flushing,Queens County,06,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
3700 Junction Boulevard,Flushing,Queens County,14,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
165-02 Baisley Boulevard,Jamaica,Queens County,05,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
21-25 Broadway,Long Island City,Queens County,14,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
5380 West Taft Road,North Syracuse,Onondaga County,22,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
4854 Commercial Drive,New Hartford,Oneida County,22,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
1030 Pine Avenue,Niagara Falls,Niagara County,26,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
4374 Buffalo Road,North Chili,Monroe County,25,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
343 Meadow Drive,North Tonawanda,Niagara County,26,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
961 Port Washington Blvd,Port Washington,Nassau County,03,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
605 Titus Avenue,Rochester,Monroe County,25,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
1000 North Clinton Avenue,Rochester,Monroe County,25,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
405 Erie Boulevard West,Rome,Oneida County,21,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
1820 Teall Ave,Syracuse,Onondaga County,22,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
272 Hoosick Street,Troy,Rensselaer County,20,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
1924 Genesee Street,Utica,Oneida County,22,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
1604 Route 9,Wappingers Falls,Dutchess County,18,no,county not in NY-23; Census geocoder no match; CD from county (Dutchess is NY-18/NY-17)
12208 NY State Route 16,Yorkshire,Cattaraugus County,23,yes,county wholly in NY-23; Census geocoder no match
